2008_000795.jpg,"[0.         0.         0.         0.         0.36914995 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.91550685 0.         0.         0.
 0.         0.        ]"
2011_001713.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.4850588  0.         0.54497538
 0.         0.        ]"
2009_004993.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.60251744
 0.         0.54938761]"
2010_000918.jpg,"[0.         0.         0.29792746 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2010_002538.jpg,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.4588535 0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.       ]"
2010_002921.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.75324053 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.8691404 ]"
2011_001665.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.1971713  0.         0.10782708 0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2010_005046.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.65423387 0.
 0.         0.         0.83732642 0.         0.         0.
 0.         0.        ]"
2009_002856.jpg,"[0.         0.         0.         0.         0.96730638 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2011_003103.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.58270023 0.         0.         0.
 0.         0.         0.         0.         0.         0.74960361
 0.         0.        ]"
2010_001579.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.16157474 0.         0.9514093  0.
 0.         0.         0.9205826  0.         0.         0.
 0.         0.        ]"
2010_003971.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.87731657 0.32994459 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2010_004763.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.45310957 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2008_005399.jpg,"[0.         0.         0.         0.         0.52346963 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.8758281  0.         0.         0.
 0.         0.        ]"
2010_004856.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.63255094 0.         0.         0.         0.         0.
 0.         0.        ]"
2011_001567.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.68783956 0.         0.         0.
 0.         0.         0.7878269  0.         0.         0.49653747
 0.         0.        ]"
2009_000201.jpg,"[0.         0.         0.         0.         0.90752738 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2009_004099.jpg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2011_002641.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.74719223 0.         0.         0.
 0.         0.        ]"
2009_002749.jpg,"[0.         0.         0.         0.         0.94385286 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
2010_001327.jpg,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.24654437
 0.         0.        ]"
